"guohot","刚看完，这剧情真是迷之又迷，不迷的地方狗血的可以，日本警察应该集体抗议这部片"
"不醉无归爱谁谁","嗯...一般新海诚吧。画面很OK，细致的令人发指，美得让人落泪。配乐不OK，没有立刻想得到OST的冲动。故事...很套路，但是讲的很OK。啊~~少年的勇气，大概也只有少男少女才配拥有勇气。我们成年人，最终因为各种羁绊成为油腻、颓废、猥琐、胆小的人。"
"西瓜大侠女","画面确实不错，但看点总是走同一个路子的话，人是会疲劳的。比《你的名字》（主角在这里出镜了？？）差的，逻辑确实很缺乏，尽管这样拼命地去爱，只有“少年的你”可以做到啊！小雨猫3年后太搞笑了！还有放晴娘那块儿。色彩是不错，但是如果去看IMAX还是有点儿浪费，加之最后一排一男一女老说话，就坐到了前面中间排位置。唯一的亮点就是控制天气这个设定了吧！想起我们肖老师和猴子哈哈哈哈……！《机器猫》不是说无论男女都叫“晴男”“雨男”么！这里怎么改“晴女”了？安贞UME3号厅10人左右散场碰到叫什么济博的男服务员太奇葩投诉时他们都笑了说这个人脑子有毛病"
"波提切利的天使","可以做的更好可惜了"
"蓝色波丽露","新海诚的故事一如既往的氛围大于逻辑，然而不知为何他笔下的角色表达情感的方式总是莫名歇斯底里，剧情的情绪也不知道怎么就突然那么高昂了。警察太惨了，明明只是在做自己的本职工作而已。但是音乐真好听。"
"[已注销]","里面那个售货员叫宫本茂，你们看见了么"
"Derridager","原本以为要讲未成年与世界对抗，不是世界/体制的giltch，而是世界得以成为世界的必要组成部分。万万没有想到这次是“我只要自己的世界，反正东京以前是片海”。世界被取消了，我的周围即是全世界。"
"丁萌","还是世界系。然而从【拯救世界】到【做出拯救世界的样子】，真的“大丈夫”？？？"
"Lycidas","3.5演着演着突然mv好尴尬...大叔说为了救大部分人牺牲一个也无妨的时候意识到果然又是一个「电车难题」，这种困境里无论哪一种选择都可以自圆其说，但也无法完全证明其合理性。自私的选择才真实，真实到刺痛，但若连选都不能按照心意去选，还不如消失在天空中呢。20200314重看略减。"
"Suito","不愧是诚哥，9102年了还在拍世界系以及歌曲串烧.."
"一口大井子","画面依旧是新海诚的高水准，帧帧壁纸，剧情水到都快和《大鱼海棠》差不多了，全是硬设定、硬转折、硬分别、硬重逢，真硬核奇幻动画。"
"Mr. Infamous","其实该叫《天气之女》。被阴雨笼罩的东京突然天晴之时，风卷云舒都没这般明朗动人。淡然而笃定的故事，很适合少年穿行，成年人计较了，龟缩了，自己都感动不了自己。女性始终是献祭者，大局之前，总要她们用血肉之躯去换一个也许的雨过天晴。终于这次，可以自私一回，但“新模式”却找不到可行的通路似的，后面的蛰伏不足以为之前的血性作陪。"
"Kei","「君の天気は」"
"太阳的倒影","翘班去看...这剧情和人物塑造...一言难尽...美术是很棒，雨水的各种表现都做得很好，3DCG也做得不违和，但作画略微微微低于君名。另外中文字幕还把一个非常重要的名字翻译改成了宫本茂是什么鬼..."
"胤祥","唉新海诚也有让人觉得过时到极点的一天……感觉他的创作节奏就是好一部扑一部……日本选这个片去奥斯卡是不知道奥斯卡外语片的评审是年纪最大的一帮人吗？（所以要专门选个过时的？）双人煽情旁白（应该是新海诚[星之声]以来坚持的作者风格了）也就一段而已。当然这个“为了你哪怕世界洪水滔天”的结尾真的是让人惊掉下巴，价值观倒真的是蛮独特的，可惜救不了整部片子。以及，新海诚的自我指认终于从少年变成了（小栗旬配音的这个）废大叔，这一点也是让人唏嘘啊。（以及感觉这个故事的构思似乎是从落语名段[死神]来的……）"
"南悠一","片子单薄到让我为短评再多写点字都写不出来。"
"安德烈大叔","父母的缺失，对成人世界的抵抗，新海诚永远是青少年之友扮相，执迷于此但不重视文本迟早会失手，画面越美越空洞。"
"锐利修蕊","三星半。其实是灾难片《东京淹没》，被浪漫派的导演强行扭成爱情故事。新海诚偷懒，看着上部大热就不动脑子用一种结构讲故事，中段非常拖沓，但分隔少年和成人世界的不同显露之后，电影又有一点让人感动。能看到各种经典日影的元素，比如黑泽明的《野良犬》，相米慎二的《搬家》，今村昌平的《鳗鱼》，森田芳光的《其后》，甚至是枝裕和的《无人知晓》。但这个故事本身太过简单，晴女不就是小龙女嘛？只不过结局完全相反更加浪漫。那场掏枪对质警察的戏，如今在动画里非常难得。老人说“天空比海洋深邃”这句话太有魔力了，后半段我都一直沉浸在其中。把它当成《大鱼海棠》后传看，其实不差。"
"魂","【C】立意似乎就有点偏，执行也没多出色。简单来说就是该感人的地方不感人，该虐心的地方不虐。"
"谋杀游戏机","哈，可能真是日本版《少年的你》+低配版《你的名字》，为你放弃全世界。层层铺垫出一个宏大时空的缝隙，等到高潮时刻，少男少女命运相系，然后各种矛盾冲突、唯美画面、煽情音乐往一起堆...《你的名字》是神作，重来一次就有点腻了。最好笑的是小雨长成肥猫，跟我家刚捡来的流浪小奶猫神似。第一次体验亲子厅纪念。画面和配乐依旧美得没话说，很好奇为什么日本观众永远很吃新海诚这一套，百看不厌啊。"
"90","看之前觉得很期待，看完之后还是老三样，少年少女相遇，少女失踪，男主寻找。结局直接套你的名字和云之彼端。中间稍微穿越到天空之城里。女主的人设没立好，所以中间不管是去做应召女还是做天晴女还是做人柱都让我面无表情。前辈是个亮点，同时泡了香菜和凌音。中间有你名男女主客串，还有光美。"
"唐小万","《你的名字》短评还能再用一遍，高中毕业后就看不动新海诚了…以及《麦田里的守望者》不是让你学会离家出走还只会用来盖泡面好吗"
"玩酷子弟","太阳之子就是我我的威力就是强"
"李胶囊","三星半。。。。。剧情不够音乐画面凑"
"[未注销]","“就算大雨让这座城市颠倒，我会给你怀抱。受不了看见你背影来到⋯⋯”。《天气之子》佐证了我对《企鹅公路》的夸奖。"
"说故事的虎牙君","这部动画的问题并不在于选择“是什么”，而是没讲好“为什么”。其实无论让帆高和阳菜最后做何种选择都没问题，只要你把人物动机和成长弧线讲的足够好，但新海诚对核心角色的塑造太弱了，仅仅靠年龄设定就想解决所有剧情冲突问题，观众的共情全部仰仗于自己的经历，身份认同，以及画面和音乐所煽动起来的情绪。可问题是，大家谁没年轻过？都知道青少年的爱情是个什么样子，但中二是特点，而不应该是目的，对不对？"
"小慌","就像片里出现的《麦田里的守望者》只是点缀，离家少年的生存问题、关于两性的擦边球台词之类，仅是一种现实感的修辞，《天气之子》到底是向少男少女的旷世爱恋狂奔而去的。什么逻辑，什么政治正确，也阻挡不了它对浪漫童话的向往。塞林格痴迷书写少年，孤独的、疏离的、天赋异禀的、过于敏感的等等，而新海诚就是新海诚，他迷的是轻小说，他的少年与《麦田里的守望者》，除了离家出走，没啥共同点。"
"Lvan","两个智障的爱情故事"
"戊藏一","剧情略无聊"
"Alex","枪这个载体真是太不好了。放弃原本擅长的细腻的心理描写，转而选择更商业的“枪”填充故事，真是很不喜欢和枪相关的所有篇幅，包括第二幕两人的相遇，之后警察的追捕。淡淡讲故事的风格硬是加上了转折和爆点，显得很儿戏。就连为了爱抛弃世界都变得不那么浪漫了。其他部分依然是新海诚的正常水平，作画的精细程度，配乐还是很好听。"
"步履不停","本来刚上映去不去影院的想法各参半吧，刚好又买了机票贫困，但是没想到居然会看到田中评论刘桑台词，顿时又想看了。画面音乐就不吹了，剧情确实有点还是那种套路的感觉小年轻爱情真好啊，是我老了吧（影院空调吹得像冰箱瑟瑟发抖）。途中不禁想到要是真的全球变暖东京淹了咋办，这世界已经够疯狂了，还唯有爱拯救大家么？本田翼的声音我居然还真的听着挺熟悉……"
"这货是牛奶","没错这才是诚哥的正常水准嘛"
"Cure Kuma","我也想有个前辈教我怎么泡香菜和绫音……"
"赛拉拉拉拉","当年看<你的名字>的时候偷偷在电影院哭，今天看<天气之子>差点睡着(>_<)"
"尔佐月","get不到中二期的不顾一切。"
"い银蛊","一如既往的华丽一如既往的假大空不严谨的情节依然是短板"
"麦克阿瑟","梵高对的晴天，金黄色的太阳。"
"喵尔摩丝","看完之后满脑子都是“人文关怀宫崎骏，科技失控押井守，怪力乱神新海诚”【手动笑cry脸】这不就是…让是枝裕和拍《大鱼海棠》？有好几个地方会默默在心里问一句，我真的不是在看《云之彼端》么？或者《追逐繁星的孩子》？一直跳不出自己的小格局，没有气力和精力支撑一个120分钟的故事，可能是新海诚由来已久的问题了。浪漫也好，成长也好，于他始终更像一个concept而非subject，所以《秒五》上头的劲儿落下来之后，始终觉得新海诚总差一口气。大哥啊您不是壁纸画手，咱写剧本时候长点心不好么？Anyway，有猫即正义。"
"比比扬","一定要很会跑花火太美还有爱能做到的事吗做重复的梦是罪过吗太奔放有点不像记忆中的新海诚"
"萤木C","有点失望，剧情有点迷，而且偏简单平淡了，中间看了好几次时间，异世界转换的逻辑有点生硬，煽情有些刻意，尤其是男主的嘶喊声。总感觉改一些处理可以更好看的，比如让女主更神秘一些，男主作为叙述者交叉三年前后的剧情，男女主之间有某种呼应维系的东西。新海诚是对东京的下雨天有多怨念或执念，才编出这样的剧情和设定呢，跟上一部的剧作水平差距有点大，明明是类似的配方，唉……"
"呼噜噜队长🍀","什么鬼.....故事都讲不好.....主角自我感动太多了，我这次鸟肌都没起来过......好多背景都没讲根本无法共鸣.....弟弟还可以....诚哥还拉你名字两位出来orz（本田翼棒读啊、演技不行果然配音也不行"
"七姐Claudia","琼瑶言情风格，很多地方矫情甜腻过火。在阔别五年的桂林，和阔别六年的朋友叶子一起看的这部新海诚作品虽然稍显无聊，但是昨天一整天的美好回忆，我们在电影院里边看边吐槽的有趣片段，会永远住在我脑子里吧。这是妈妈去世后我唯一没有哭的一天。"
"OD","可能是地域不同，我实在难以理解日本人对东京的执念。这应该叫灾难片，《东京沉没》。说实话，如果我是初中生可能会看得痛哭流涕。可是不好意思我已经24了，看完以后满头问号……"
"Flee`","对東京风景的刻画很美很浸入BGM好听剧情和本田翼不行✋"
"不可以吃兔兔","意味不明。。。"
"圣悟空君","除了画面，各方面被你的名字吊打。不推荐观看"
"发条橙","精美的“壁纸电影”。新海诚骨子里一定是个精致的利己主义者。"
"麥c臭魚","为了爱而奋不顾身成这样，也只有在漫画中才不那么突兀吧"
"古宋松谷","日本是有自然巫信仰的民族，并且有很强的亚特兰蒂斯灭世情结。这两点本来在宫崎骏电影里被表达得淋漓尽致。宫崎骏时代过后，没想到原本风格较文弱的新海诚，能够凭《你的名字》一举转型，承接上巫力电影的命脉。本片故事逻辑比前作差了很多。超现实的力量非但没有实现心灵超越，反而成了禁锢生命的魔咒。君名里年轻人为拯救世界付出了遗忘的代价，但终究凭爱的力量唤醒彼此。本片是反其道而行之，为拯救彼此付出世界的代价，逻辑上缺乏说服力之处并不是“不该这样”，而是他们面对的对象变了。彗星毁灭一个镇是天意的“无情”与“随机”，巫女的救赎也只是关乎自己心性选择，并不是一种对抗。此片主宰天气的意志需要无辜的孩子献出生命，已经具有主观意识的恶，却又可以轻易地被中二的嚎叫改变。中二的纯情有感人处，但作为电影，故事硬伤无法忽略。"
"次等水货","新海诚这是要拍“特异功能少女”三部曲吗，这是第二部？不管外在呈现还是叙事套路、节奏跟《你的名字。》都是一致的，能找出相对应的人物或者场景、事件，甚至立花泷和宫水三叶在这部里还有客串。卖的还是那一套，设定不如《你的名字。》完美。"
"穿山","《言叶之庭》没下完的雨，《追逐繁星的孩子》没在异世界见到的人，《你的名字。》没能撒手不管的世界……一并打包补上，依旧是新海诚热衷的少年心气（守护小我）和爱之神迹（献祭大我）间的选择，这把让东京成了真的新·海城，宅男自私任性起来倾城之恋算什么。水的N种表现形态值得一看，梦中骑车POV算惊艳一笔。然而即使是诚哥粉也对这腻味剧情不满，知道霓虹少年情深义重，但人物间羁绊的设计不够走心甚至硬拗，导致后半段的献身与挽留特别轻飘；男主没完没了的中二自白更是加重烦躁感，整个片子看似“我的爱溢出就像雨水”，但却弥漫着一股子日清拉面赚快钱的速食味，看到结尾一脸问号——这就完啦？感觉日本经济是不行了，大家过好自己的小日子就得了，有人愿意为万民献身当然求之不得，没有也就凑合过了。淹就淹了吧，累了。"
"风蚀蘑菇","比想象中还是要好一点的。这部里继承了君名里的日本民俗文化(盂兰盆节，巫女，神社，晴天娃娃)，穿过某个结界就到达次元外世界的设定。作画上大量细节的城市景色以及高空跳伞那段，真是经费燃烧。依然是新海诚惯用的世界系，天地兴亡就寄于一个人身上，其他几十亿人都无所谓的。最大的问题是，故事太过简单且老套了！君名也世界系但时空梗+叙诡+努力救世，剧作完成度比这个高多了！这部的故事几乎又退回到星之声那个阶段。我是在看仙剑吗，为什么非得死女主和救世界里选一个呢！不知道是不是随着年龄成长心境转变，总之看到16岁的男主大喊着"为了你我宁愿牺牲整个世界"，社畜心态只有心疼警察叔叔们。然后转眼就三年后东京沉没了世界看起来药丸了但我相信会好起来的嗯全剧终。exm？？？救妹子真的导致世界毁灭的故事还是头次见，新海诚牛逼的"
"天猛公胡安","无论如何小镇青年都是要去东京的，这反映出了日本极端严重的单极化都市病，背后恐怕是官僚主义带来的集权因素"
"风间隼","新海诚的招牌元素依旧，日常细节、轻色情、神异少女和绚烂画风。日本电影从《七武士》的“尽忠职守”到《风之谷》娜乌西卡的“为民献身”，蜕变成《天气之子》的“献过一次就不要再献第二次了”，少年之间的“倾城之恋”大概也体现了某种观念变化，个人意识觉醒吧。"
"明日方舟","2.5，很疯狂，很虚幻，可惜这样稀烂的故事难以打动人心，作画和歌曲也只能沦为视听享受，仅此而已。"
"贡丸猩猩","会讲故事的诚哥是强无敌，如君名；不讲故事的诚哥是散文诗少年，如秒五；瞎讲故事的诚哥是MV剪辑师，如天气之子。"
"飞侠式拼搏","这个世界太疯狂，去他妈的拯救世界。和警察对立我不怕，就算淹没东京也没关系，我只知道比起晴空，我更需要你。好一个奇幻、都市、青春、爱情的大杂烩，东京旅游宣传片之动画版。细腻精美的壁纸大赏，歌曲也还不错，除此之外好像没什么优点可提及的了。剧情和节奏方面真的是太糟了，硬伤一大堆，各种莫名其妙，太迷了，为什么就不能好好讲一个故事呢？不过这也算是新海诚一贯的叙事特色吧。还有某些人的乱入，新海诚你是要打造一个属于自己的电影宇宙吗？"
"一只野鸡","好幼稚哦，故事太Teenage了！这个男主角为了女朋友把东京淹成那个鬼样子，有点像白娘子为了救许仙，水漫金山，害得老百姓流离失所！"
"HarperDie","三星半。IMAX全画幅的视听体验非常直观，新海诚对画面的把控能力已经明确提出一个信号，这样的技术水准真的要一直沉浸在同类型的故事中吗？感动依旧会有，出于作者喜好也真的无可厚非，但在技术不断进步的同时，同质化的故事愈发捉襟见肘也是不争的事实。影片节奏在阴晴前后明显的断裂，就是典型的负产品。"
"伪应物","表达上乘，内核平凡。看过多罗罗，对日系的人神交易原型有所了解。巧的是男主也姓醍醐。最大的难点就是在一起人人信科学的时代讲一个神话故事，无论如何都太难了，局部神话实在无法嵌入科学的大现实"
"蒸気白蘭","感觉只能是普通，是商业化尝到甜头了吗，讲述也流于表面。不过今年东京这几天天天阴雨，有种生活气氛。最后，日本警察才是全场最惨，要靠小朋友打败警察去追求爱情我还是不懂。"
"SundanceKid🌈","3.5命题上诚然不及你的名字，但面对成人世界的分割，莽撞、听不见劝阻，他们冲破雨雾，磕破了头奔向心爱人的模样，还是好吸引人。世界依稀变化，阳光并不来自云朵之上，偏颇的情感观是少年的顽固了。高潮段落被RADWIMPS救了"
"山人阿苍苍","新海诚真是太令人失望了吧，“晴女”是多好的奇幻设定啊，看到寺庙里老爷爷讲传说那段小激动了一下，然而他的格局也就仅仅止步于此了。以及，好想吐槽这部里的直男工口视角以及各种MV式配乐闪回啊"
"寰宇星城","我不相信新海诚作为一个日本人不知道大水淹城对一个城市造成的损失有多大，关系到多少人的人身安全和财产安全。然而从电影的表现来看，这些都被导演有意识的忽视了。持续了三年的自然灾害被说成是让东京恢复200年前的样子，仿佛这三年真的没有一个人因为这场持续的大雨而丧命一样。对于电车难题，我有自己的立场，不过我觉得无论你选择扳，还是不扳，都是说得通的。然而，你不能把另一条铁轨上的绑的人视为不存在。"
"。","观看此片我的观影心情犹如过山车。前一小时：这他妈是什么狗血撒币莫名其妙的琼瑶剧本了啦？！后一小时：救命中二少年毁灭世界只为拥抱你的浪漫爱情也太感人了吧嘤嘤嘤……"
"陆小鸟","1.“他就一个做动画的，懂个屁的剧情😒”——感觉这句话超适合新海诚；2.在寰映新激麦看还是会被爽到；3.最离奇的设定是森岛帆高离家出走带着《麦田里的守望者》，感觉是被塞林格洗脑了，所以结尾那样抉择也是走的霍尔顿路线"
"真锡","太中二了，新海诚还是讲不好故事，是想说人类和环境的关系、年少轻狂的爱情、还是生死相隔的亲情；好像什么都说了一点，又好像什么也没说清楚，在中段那副800年的壁画结合女主的宿命再深挖一点，总比拿着枪指着警察这种剧情要好一点吧……与其说是失望，不如说我觉得很可惜，可惜了前半段的节奏还不错。"
"空山","日本版《少年的你》，你毁灭世界，我保护你。“如果消失一个人，可以让世界恢复正常，我赞成。”此处应接尹昉台词“我和你或许赞成，但他们是少年。”霓虹不愧超英坟场，个人英雄主义是屁一般的存在啊！"
"中途半端専門家","看了首映一脸黑人问号，高中生爱情毁灭世界，警察叔叔真惨，东京真惨。不过下一年份的壁纸有保证了！！！！"
"cookiezby","所以从池袋跑到代代木当中经过目白，高田马场，新大久保，新宿，所有工作人员都是看热闹的么😂😂"
"张苑希","依旧是画风精致绝美故事中二无比的新海诚，为了这俩高中生至高无上一往无前的爱情，全东京都差点跟着陪葬了。有童心的人大概会很羡慕这种拼尽全力不顾一切为对方付出的勇气，但本社畜老阿姨实在吃不消，跟《你的名字》中间差了一百来个《言叶之庭》吧。"
"萘烃锆","海淹东京，第二个神话元素，是要创造宇宙了，但这样要做成复制流水线太令人失望了，表面进步，仅是画质，自我重复，歌曲泛滥，三年原地踏步；天空二人转，退步回追逐繁星的孩子。既然要做连续剧那不如去做tv动画吧。失望影响了我的打分。少年们闯荡游走东京的感觉我还算喜欢的，说到底，我是希望被感动的。"
"渡口无边","2.5好失望，叙事节奏像一根被拉直的线没有弹性。从莫名其妙地献身到最后的救赎的过程，都完全没有情绪去推动，像强行要把一杯凉白开冲成全糖的奶茶。从设定和呈现的结果来看，充其量也就和《若能与你共乘海浪之上》持平。"
"巴伐利亞酒神","再次坐实导演电车控和雨天爱好者的身份。"
"Faust Shu","三星给画面⋯"
"水浒三国金刚","这不就是以前qq签名朋友圈经常看到的那句“你若安好便是晴天”吗？"
"影启缘末","同样的范式看多了也有一点疲劳啊"
"冰冷的空气像火","画面、音乐、设定单拿出来都不错啊，加在一起就不太好。剧情可以深挖的地方太多了，晴女、枪、家庭关系。音乐不错，但是也太多了，感觉在看一集一集的番。大叔的声音很好听，放字幕才发现是小栗旬。"
"陈花卷","不工作不努力靠着别人的钱带着自己喜欢的女生离家出走让人风餐露宿还拿枪指自己的金主爸爸对社会责任进行反抗？认为爱情拥有至高无上的价值？还是996吧朋友"
"无耻不混蛋","有些导演，可能永远还停留在少年时期，比如典型的新海城。我对导演的少年心气没有任何意见，只是这一次也太中二了，中二到以致于为了成全两个少年的爱情，可以不顾世界毁灭的地步。看起来，应该很为这个故事感动，但就是莫名感动不起来。"
"海棠簪","这部动画真是对热衷情感表达、注重伦理道德和行动力的中国观众，非常不友好啊。换个中国男孩，就会这么拍：想要逃离家乡，就奋力一搏拼高考，最后考到了东京，自然不会流落街头，也就遇不上女主。即便遇到女主，说不定也会冲冠一怒为红颜，水淹东京。但是三年后绝对恋爱谈得热火朝天，坐等结婚生娃了好么。所以，这是个只有日本人当主角才能成立的故事啊。"
"秦风无衣都有","真的新海诚找个靠谱的人给你写剧本吧，其他方面都没啥可黑的，可这故事断断续续的真的毫无吸引力啊"
"ample","非常进退失据的作品。空、云以及两者融汇生成的雨原本长久以来一直是新海诚动画中着力表现的重要特征。无边界的邈远、无形体的弥散，在渐次的间隔中与人物的呼吸同调。不过当这些一瞬被赋予了沉重的肉身，拉长成正面迎击的主题后又如何呢？在最开始，我们首先看到了阳菜的脸，还有被雨水激烈拍打的玻璃上所映出的阳菜的脸。所有覆压在池袋新宿台场上空的雨通过这层玻璃的中介紧紧附着在了阳菜另一重的身体上。而这两重性最终被接下来的故事拟制成社会（性）与世界（系）的双重狂乱。男女主在社会活动中相遇、发展，或许这是新海诚动画里最落地的交流描写，但这个总是笑着的实体阳菜怎么去唤醒帆高对被雨附着的阳菜那世界系语境下的“爱”呢？后半段浮草缭乱的展开试图蒙混这个问题，也是令人失望的。所以最后的选择与其说是“为了爱选择你放弃世界”，"
"秋暝","我：为什么他们一点学术精神都没有？要是我的话肯定把晴女抓起来做实验写论文啊，这个课题真是太有趣了……🐷：你好有毒一女的"
"Aegean","看了预告之后隐约觉得肯定不如君名...果真如此。硬核广告太多，有点跳戏。剧情方面略老套。始终没有交代男主离家出走的原因，感觉想要描绘其他人物的成长却只是蜻蜓点水。剧情从头到尾都是站在男主视角，女主视角几乎没有，难以充分表现出两人的羁绊与互动感。最后结局有点迷。感觉诚哥依旧执着于画面而没有把剧本写好。"
"Dzolan","我觉得编辑部放地下挺好的"
"鬼腳七","没得挑的部分还是没得挑，但是也没啥特别值得说的。这部意外轻巧明亮，刻意加了很多喜剧化进去。但是怎么说呢，这结局处理，有点强行HE。不能每次都人往天上一飞，音乐一起就完事吧？何况前面已经铺了那么长一段狗血逃亡戏了。"
"ekling","新海的哆啦A梦只有不怎么哆啦的哆啦和大雄只有一个秘密道具一个不是冒险的冒险故事让我觉得真的不太吸引但一如既往植入和不植入做得都很用心让我会去想我们的生活真是充满了各种品牌另外今年夏天的东京雨多的和片子里一样虽然没那么大"
"摇 滚 泡 沫","剧情比«你的名字»好，起码比较认同其爱情观：因同病相怜互助而彼此成为"生存伙伴"，一起努力找到工作的意义，更甚"活着"的意义——「即使让全世界连雨不断，我也要存在有妳在的世界！」如此残酷而美好的活着。三星半★★★✩"
"陈四喜","壁纸一样的背景图，RADWIMPS的音乐，爱哭鬼男主，初恋和别离，个人情感和世界安危的冲突……新海诚把过去擅用的元素又用了一个遍。所以味道和之前也没什么差别。个人感觉略好过《你的名字。》"
"Yves·X","文艺青年乱七八糟浅尝辄止的创作动机一锅乱炖，也有种反套路的趣味。本来不该有所触动的，大概随着年岁的增长，对青春期的磅礴勇气分外敏感了。（话说这片未成年人又是离家又是持枪又是恋爱又是怪力乱神，审查倒是很灵活嘛。）"
"色烈芬_","看到结局感觉就是新海诚画着画着不知道怎么填坑然后就“就这样吧“的敷衍感……"
"翻滚吧！蛋堡","看完缓缓打出一串？？？"
"T.V.Zoe ி","好於預期但狗血的地方也的确太狗血了三浦透子声音每次出来都很戳グランドエスケープ神了"
"RKO","论商业没有君名圆熟，论中二又远不及秒五"
"柳七","这是一个极富有争议的结局。。大概也是因为年少冲动和爱的自私吧，比起放晴，我更需要你。每一帧还是能当壁纸，故事还是有点讲不明白，足控、猫控、电车狂魔还是那么的一如既往，《君名》恍若昨天。我还是挺喜欢这部电影的，不过有一说一，这部电影比起《君名》确实有些差距。不过三年时间我等都等了，何妨再等他一个三年？"
"以心","各种元素都全了猫电车雨天樱花日剧跑大胸御姐外表不羁内心专情的大叔...还行吧典型的诚哥作品反正我一直把诚哥当chickflick看没有期望没有失望...依旧最爱言叶之庭#tiff19"
"豹哥","自从新海诚传出轨，对他就自带油腻滤镜，前面还挺正常的，后面就黑人问号.jpg"
"冯小强","在视觉上当然还是“壁纸狂魔”，城市景观，自然风光，美美美...故事就是苏打绿的《小情歌》——就算大雨让这座城市颠倒，我会给你怀抱...反派是萧敬腾...我很喜欢这个结尾，也是“少年的你”呢，也是为了爱奋不顾身...你不需要对世界负责，你只需要忠于自己...《你的名字。》的三叶和泷还出来打酱油，新海诚也玩宇宙了..."
"Ruirui","跟你的名字一样的反物理超能力，新海诚的一贯设定，过于工整化的好莱坞叙事结构。懵懂少年初入东京工作，在东京饱受社会毒打，像极了中国的90后们，果然不一样的国家社会一样的生活经历。为了和女主在一起，不惜牺牲一切，太过理想化的爱情依然瞄准了当代少年少女们的爱情理想。过多的工具化角色却让影片显得过于工整化缺失了艺术美感。跟你的名字比起来真的差了太多太多，新海诚很可能已经江郎才尽。PS:影片的第一幕出现了麦田里的守望者，我很高兴，因为我也很喜欢麦田里的守望者。"
"zeroasd123","后半部分拍的太草了，已经不是失控不失控的问题了，这种把各种乱七八糟元素杂糅在一起的爆笑感，真的是一种神奇体验。不是，我还是感觉这片这么黑日本警察真是太缺德了，甚至比最后的日本沉没都更令人WTF:你他妈怎么想到要整这些玩意的?这也敢叫世界系?"
"纤纤","画面颇有日漫的特色，故事叙述的一般，总体过得去。"
"独行侠杀手阿何","天气和人心，连为一体。延续《你的名字》扑鼻而来的清新蔚蓝城市画风。TohoCinemaIMAX的出现让我为之一振！前半段还不错引人入胜，到后半段就莫名其妙起来，整个设定让人摸不着头脑。为了挽救心上人可以继续让东京连日下雨？超喜欢男主角捡回来极具人性的可爱小猫和可爱早熟酷帅真性情的“前辈”凪弟弟！！！！！"
"方東美","11月1日看的。坐在电影院3排9座。结局很好看，但是没看到结局的话，前面的剧情不好说，年轻人应该能从中看到更多的情感。"
"伪装的甘党","场景真是好看，2D的比建模的好看，变晴的时候超级好看，这样看来真是最能发挥诚哥特长的主题了，故事要是没有莫名其妙的枪和跑，大概能减少一半长度吧，没体力当不了男主，从池袋跑到代代木"
